#1. Strength of upper sheet,#2. Strength of lower sheet,#3. Welding speed,#4. Focal position,#6. Fracture location (0: BM 1: HAZ 2: FZ)
590,590,70,0,0
590,590,60,-5,0
590,590,48,-10,0
590,590,37,-15,2
590,590,26,-20,2
590,590,20,-25,2
590,780,70,0,0
590,780,60,-5,0
590,780,48,-10,2
590,780,40,-10,2
590,780,32,-15,2
590,780,24,-20,2
590,980,70,0,0
590,980,60,-5,0
590,980,48,-10,2
590,980,40,-10,2
590,980,32,-15,2
590,980,24,-20,2
590,1180,70,0,0
590,1180,60,-5,0
590,1180,48,-10,2
590,1180,36,-10,2
590,1180,32,-15,2
590,1180,24,-20,2
590,1500,70,0,0
590,1500,60,-5,0
590,1500,48,-10,2
590,1500,40,-10,2
590,1500,32,-15,2
590,1500,24,-20,2
780,780,70,0,0
780,780,60,-5,0
780,780,48,-10,0
780,780,40,-10,0
780,780,32,-15,1
780,780,24,-20,1
780,980,70,0,0
780,980,60,-5,0
780,980,48,-10,0
780,980,40,-10,0
780,980,32,-15,1
780,980,24,-20,1
780,1180,70,0,0
780,1180,60,-5,0
780,1180,48,-10,0
780,1180,36,-10,0
780,1180,32,-15,1
780,1180,24,-20,1
780,1500,70,0,0
780,1500,60,-5,0
780,1500,48,-10,1
780,1500,40,-10,1
780,1500,32,-15,1
780,1500,24,-20,1
980,980,70,0,0
980,980,56,-5,0
980,980,46,-10,0
980,980,35,-15,0
980,980,32,-15,1
980,980,26,-20,1
980,1180,70,0,0
980,1180,60,-5,0
980,1180,48,-10,0
980,1180,36,-10,0
980,1180,32,-15,1
980,1180,24,-20,1
980,1500,70,0,0
980,1500,60,-5,0
980,1500,48,-10,1
980,1500,40,-10,1
980,1500,32,-15,1
980,1500,24,-20,1
1180,1180,70,0,0
1180,1180,60,-5,0
1180,1180,48,-10,0
1180,1180,36,-10,0
1180,1180,32,-15,1
1180,1180,24,-20,1
1180,1500,70,0,0
1180,1500,60,-5,0
1180,1500,48,-10,1
1180,1500,40,-10,1
1180,1500,32,-15,1
1180,1500,24,-20,1
1500,1500,72,0,0
1500,1500,60,-5,0
1500,1500,48,-10,1
1500,1500,32,-15,1
1500,1500,24,-20,1
1500,1500,16,-25,1
